Initialised
         12256924 function calls (12247285 primitive calls) in 24.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 kdtree.py:3(<module>)
     4980    0.002    0.000    0.008    0.000 enum.py:267(__call__)
        1    0.000    0.000    0.008    0.008 __init__.py:220(<module>)
        1    0.000    0.000    0.008    0.008 image.py:4(<module>)
        1    0.000    0.000    0.008    0.008 artist.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cm.py:19(<module>)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
       80    0.001    0.000    0.008    0.000 typing.py:922(__new__)
        1    0.000    0.000    0.007    0.007 pyparsing.py:5558(pyparsing_common)
  113/108    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
  113/108    0.003    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 backend_bases.py:33(<module>)
     1034    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      150    0.000    0.000    0.006    0.000 cm.py:81(_generate_cmap)
      840    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      376    0.000    0.000    0.006    0.000 re.py:184(sub)
        1    0.000    0.000    0.006    0.006 patches.py:1(<module>)
        1    0.000    0.000    0.006    0.006 lines.py:4(<module>)
       64    0.001    0.000    0.006    0.000 colors.py:713(from_list)
      118    0.001    0.000    0.006    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.006    0.006 _axes.py:119(Axes)
       11    0.000    0.000    0.006    0.001 ops.py:800(_create_methods)
        1    0.000    0.000    0.006    0.006 categorical.py:3(<module>)
        1    0.000    0.000    0.006    0.006 font_manager.py:21(<module>)
     1701    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     1147    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
        1    0.000    0.000    0.006    0.006 interval.py:1(<module>)
       27    0.000    0.000    0.006    0.000 pyparsing.py:2816(__init__)
        3    0.000    0.000    0.005    0.002 Thylakoid_model_2.py:141(remove_repeat_cols)
     1045    0.001    0.000    0.005    0.000 colors.py:150(to_rgba)
        1    0.000    0.000    0.005    0.005 reshape.py:3(<module>)
        2    0.000    0.000    0.005    0.003 generic.py:8893(_add_series_or_dataframe_operations)
      700    0.003    0.000    0.005    0.000 defmatrix.py:186(__getitem__)
      517    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.005    0.005 mathtext.py:16(<module>)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
     5499    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      630    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       13    0.000    0.000    0.005    0.000 enum.py:604(_convert)
    40338    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
    11739    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.005    0.005 dates.py:134(<module>)
       39    0.001    0.000    0.005    0.000 __init__.py:1638(param)
        1    0.000    0.000    0.005    0.005 utils.py:4(<module>)
       19    0.000    0.000    0.005    0.000 rcsetup.py:825(validate_cycler)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
       90    0.000    0.000    0.005    0.000 typing.py:133(__new__)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        3    0.000    0.000    0.005    0.002 common.py:1(<module>)
        3    0.000    0.000    0.005    0.002 __init__.py:15(<module>)
     1416    0.002    0.000    0.005    0.000 enum.py:803(__and__)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
     1453    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       31    0.000    0.000    0.005    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.004    0.004 base.py:3(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:206(_sanity_check)
        1    0.004    0.004    0.004    0.004 {method 'dot' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.004    0.001 numeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:10(<module>)
      300    0.001    0.000    0.004    0.000 common.py:1578(is_bool_dtype)
      492    0.001    0.000    0.004    0.000 rcsetup.py:358(validate_color)
      518    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
        5    0.000    0.000    0.004    0.001 ops.py:927(add_flex_arithmetic_methods)
    55/53    0.000    0.000    0.004    0.000 typing.py:676(inner)
      130    0.001    0.000    0.004    0.000 deprecation.py:178(deprecate)
        1    0.000    0.000    0.004    0.004 cast.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
      177    0.000    0.000    0.004    0.000 rcsetup.py:69(f)
       34    0.000    0.000    0.004    0.000 typing.py:1099(__getitem__)
        1    0.000    0.000    0.004    0.004 config_init.py:11(<module>)
      860    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
  600/500    0.002    0.000    0.004    0.000 common.py:1835(_get_dtype_type)
     1854    0.002    0.000    0.004    0.000 inspect.py:2450(__init__)
       12    0.000    0.000    0.004    0.000 artist.py:1094(__init__)
        1    0.000    0.000    0.004    0.004 window.py:7(<module>)
      933    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
       12    0.001    0.000    0.004    0.000 artist.py:1114(get_aliases)
        1    0.000    0.000    0.004    0.004 mathtext.py:2202(Parser)
       14    0.000    0.000    0.004    0.000 enum.py:366(_create_)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.004    0.004 mathtext.py:2738(<listcomp>)
        3    0.000    0.000    0.004    0.001 Thylakoid_model_2.py:152(list_to_matrix)
        1    0.000    0.000    0.004    0.004 nanops.py:1(<module>)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1630(parseString)
        1    0.000    0.000    0.004    0.004 pytables.py:4(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:936(rc_params)
      373    0.002    0.000    0.004    0.000 colors.py:184(_to_rgba_no_colorcycle)
       17    0.001    0.000    0.004    0.000 enum.py:124(__new__)
     1097    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
      491    0.000    0.000    0.003    0.000 colors.py:121(is_color_like)
       10    0.000    0.000    0.003    0.000 pyparsing.py:4404(__init__)
        1    0.000    0.000    0.003    0.003 mlab.py:155(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 axis.py:3(<module>)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3809(leaveWhitespace)
      207    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
      200    0.001    0.000    0.003    0.000 common.py:1688(is_extension_array_dtype)
      273    0.001    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.003    0.003 internals.py:1(<module>)
      613    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      630    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.003    0.003 Image.py:30(<module>)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1177(copy)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1380(_parseNoCache)
      660    0.002    0.000    0.003    0.000 inspect.py:2730(__init__)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:3463(parseImpl)
7850/7846    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.003    0.001 _version.py:7(<module>)
     4832    0.001    0.000    0.003    0.000 sre_parse.py:253(get)
        1    0.000    0.000    0.003    0.003 __init__.py:8(<module>)
        1    0.000    0.000    0.003    0.003 parsers.py:3(<module>)
        1    0.000    0.000    0.003    0.003 frame.py:248(DataFrame)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
